shipper_party_name,count,address1,address2,address3,address4,country_code
BEIJING CENTURY JOYO COURIER SERVIC,6511,"17/F 01-1701, 56 EAST FOURTH RING",BEIJING .,CHINA,,
"HONDA MOTOR CO.,LTD.",6504,"NO.1-1, 2-CHOME, MINAMIAOYAMA,","MINATOKU, TOKYO, 107-8556",04-2955-5447,S/C_ JP0,
SAMSUNG ELECTRONICS HCMC CE COMPLEX,6504,"SAIGON HIGH TECH PARK LOT I-11,D2 R",DISTRICT 9 HO CHI MINH,VIETNAM,,
HECNY TRANSPORTATION (M) SDN BHD,6474,AS AGENT OF HECNY SHIPPING LIMITED,"NO.40-1 (1ST FLOOR), JALAN RAMIN","2/KS07, BANDAR BOTANIC,",,
SHANGHAI HUAYANG INTERNATIONAL LOGI,6468,"RM706-709,GOLDEN LAND BUSINESS BLDG",SHANGHAI SH 200092,CHINA,,
AGILITY DO BRASIL LOGISTICA,6455,INTERNACIONAL S/A,9 ANDAR ITAIM BIBI-SP CEP 0454,,,BR
"YUSEN LOGISTICS (VIETNAM) CO., LTD.",6426,- OCM,RM 701 SAIGON RIVERSIDE,"OFFICE CENTER BUILDING, 2A-4A TON",,33
"PANTOS LOGISTICS CO., LTD.",6426,"ON BEHALF OF LG CHEM, LTD.",,,,
GIORGIO GORI SRL,6423,"VIA LEPORI, 9",LEGHORN 57017 ITALY,,,
KUEHNE & NAGEL LTD NINGBO BRANCH,6405,6F (SOUTH) HOWARD JOHNSON OFFICE BL,NINGBO 33 315000 CHINA,,,
"ACU - TRANSPORT CO.,LTD",6384,"99/9 YENAKART ROAD, CHONGNONSEE","YANNAWA, BANGKOK 10120 THAILAND",TEL (662)2860099 FAX (662)2869501-2,,
INCEPA REVESTIMENTOS CERAMICOS LTDA,6381,"AV. PADRE NATAL PIGATO, 974",CAMPO LARGO - PARANA - BRAZIL,76.610.062\0001-87,+55 041 3391 1000,
C.H.ROBINSON FREIGHT SERVICES,6366,(CHINA) LTD. XIAMEN BRANCH,"ROOM 1301,GANGHANG BUILDING,",NO.29 NORTH DONGGANG ROAD,"XIAMEN,FUJIAN,CHINA",
U.S.UNITED LOGISTICS(NINGBO)INC.,6365,"ADD 20TH FLOOR,3BLDG,NO.1926,","CANGHAI ROAD,SHANGDONG BUSINESS","CENTRE,JIANGDONG DISTRICT,","ZHEJIANG,CHINA.315040",
HONEST CENTURY LTD,6365,"ROOM 2206 ,BUILDING C,GCIG IFC SHEN","NAN ROAD,FUTIAN DISTRICT,SHENZHEN,C",HINA,,
BANANERA NACIONAL S.A.,6356,AV LAS AMERICAS 22-83 ZONA 14,A/C BTC FOR TRANSFRUT EXPRESS,"GUATEMALA, GUATEMALA",,
THYSSENKRUPP STEEL EUROPE AG,6349,KAISER WILHELMSTRASSE 100,47166 DUISBURG-HAMBORN,GERMANY,,
SCHENKER & CO AG,6346,FLUGHAFENSTRASSE 20,4063 HOERSCHING,AUSTRIA,AS AGENT OF SCHENKEROCEAN LIMITED,
GOVLOG,6343,COLORADOSTRASSE 5,,,,DE
MICH. WEYERMANN GMBH & CO. KG,6314,BRENNERSTR. 17-19,BAMBERG DE,,,
FEDEX TRADE NETWORKS SERVICOS E LOG,6314,ISTICA LTDA.,AV.MINISTRO VICTOR KONDER 530 SL 02,ITAJAI SC CEP 88310-700 BRAZIL,CNPJ 10.519.771/0003-05,
"KUEHNE + NAGEL CO., LTD",6312,.,"72 LE THANH TON ST., HO CHI MINH CI",TY 70000 VN,,
LEE KUM KEE INTERNATIONAL HOLDINGS,6304,LTD.2-4 DAI FAT STREET,TAI PO INDUSTRIAL ESTATE TAI PO,HONG KONG,,
UPS SCS CHINA LIMITED SHANGHAI BR,6303,ANCH ON BEHALF OF LF PRODUCTS PTE L,TD 1 F HONGKONG SPINNERS INDUSTRIAL,BUILDING PHASE 1 2 800CHEUNG SHA W,,
T.H.I. GROUP (SHANGHAI) LIMITED,6297,"909-916,9/F, WAN DE BUILDING,NO.,1",SHENZHEN GD 518000,CHINA,,
"EXTRADE II, S. DE R. L. DE C,V",6296,RFC:EII61116R76 LAGO ALBERTO NO.156,"COL. ANAHUAC II SECCION, DEL.MIGUEL","HIDALGO CIUDAD DE MEXICO, 11320, MX",,
BEIJING KANGJIEKONG INTERNATIONAL,6280,"CARGO ANGENT CO., LTD XIAMEN BRANCH","UNIT 406 4 F, TOWER E, XIAMEN INTL",XIAMEN FUJIAN 361006,,
K APEX LOGISTICS (M) SDN. BHD.,6276,.,"SUITE 23A - 05,LVL 23A, CITY SQUARE",JOHOR BAHRU 80000 MY,,
INTERPORT GLOBAL LOGISTICS PVT LTD,6272,"501, BHOOMI VELOCITY INFOTECH PARK,","PLOT NO. 39, ROAD NO. 23,WAGLE IND.","ESTATE,THANE (W) 400604 INDIA",A/C SUPREME PETROCHEM LTD.,
NORTH ATLANTIC SERVICES N.V.,6269,BELCROWNLAAN 23-2100 DEURNE (ANTWER,AS AGENTS FOR ISA,,,63
SEKO INTERNATIONAL FREIGHT,6253,FORWARDING (SHANGHAI) CO. LTD,ROOM 1502-1503 SHANGHAI,LITONG PLAZA NO.1350 NORTH SI,,
SHINE SHIPPING LIMITED,6223,UNIT 305-7 3 FLOOR KWAI CHEONG CENT,"KWAI CHUNG, NEW TERRITORIES .",HONG KONG,,
"K-APEX LOGISTICS (QINGDAO) CO.,LTD.",6185,.,"SUITE 3201, HUAYIN BUILDING,NO.5 DO",NGHAI WEST ROAD QINGDAO 37 266071 C,,
CRANE WORLDWIDE LOGISTICS,6182,"(SHANGHAI) CO.,LTD.","19TH FLOOR,HUAWEN INT'L","MANSION NO.999,ZHONGSHAN ROAD",,
HECNY SHIPPING LTD.,6178,"7/F, HECNY CARGO BLDG,111 WAI YIP S",HONG KONG HONG KONG,,,
BINH THANH IMPORT - EXPORT PRODUCTI,6162,"334A PHAN VAN TRI STR, WARD 11",,,,VN
VISTA LINES,6155,33 AKTI MIAOULI STR.,PIRAEUS 185 35,GREECE,,
TRANSLINK SHIPPING INC-QINGDAO,6095,"28/F, QINGDAO INTERNATIONAL FINANCE",QINGDAO SD 266000,CHINA,,
CEVA FREIGHT SHANGHAI LIMITED AS,6070,AGENTS FOR AND ON BEHALF OF PYRAMID,"21,23 F, NEW RICH PORT CENTER SHANG",HAI 31 200023 CN,,
PASHA INTERNATIONAL,6061,4040 CIVIC CENTER DRIVE SUITE 350,94903 SAN RAFAEL,,,
EVERGREEN LOGISTICS CORP.,6061,AS AGENT FOR ROUND-THE-WORLD,LOGISTICS (U.S.A.) CORP.,"5FL, NO.170, SEC.2, MIN-SHENG","E.RD., TAIPEI, TAIWAN",
TRANSLINK SHIPPING INCORPORATED,6060,"ROOM 2107-2108,21 FLOOR CITIC BANK",NINGBO ZJ 315000,CHINA,,
PEGATRON CORPORATION,6055,5F NO 76 LIGONG ST BEITOU DIST,,,,TW
BLUEMOON LOGISTICS PVT LTD,5999,B-56A 2ND FLOOR SECTOR-7,NOIDA 201 301 INDIA,TEL: +91 120 4527025,,
PACIFIC STAR EXPRESS CORP,5993,"5F., 56, DUNHUA N. RD., TAIPEI,",TAIWAN,,,
APRILE SPA,5972,VIA DI FRANCIA 28,GENOVA,16149 ITALY,,
AGILITY LOGISTICS (SHANGHAI) LTD,5968,GUANGZHOU BRANCH,"SUITE 1301/1302/1308,13/F, LAIFUNG","TOWER, NO 761 DONG FENG ROAD EAST",,
"APL LOGISTICS VIETNAM COMPANY LTD.,",5948,"17 BA HUYEN THANH QUAN STREET,","DISTRICT 3, HOCHIMINH CITY,",VIETNAM - ON BEHALF OF SHIPPER(S),VNSGN,
AUROBINDO PHARMA LIMITED,5946,PLOT NO.11 SURVEY NO.9 KONDAPUR,INDIA,HYDERABAD 500084 INDIA,,
MELON EXPORT S.A.,5931,"B. GUALIQUEME, CARRETERA HACIA OROC","TEL. (504) 882-2551, FAX (504) 882-","CHOLUTECA HONDURAS, C.A. HN",,
"NISSAN MEXICANA, S.A. DE C.V.",5899,AV.INSURGENTES SUR 1958,MEXICO CTC:FRANCISCO DEL RIO,,,MX
BARSAN GLOBAL LOJISTIK A.S,5896,GOKCE IS MERKEZI NO#9/7 CAMISERIF M,MERSIN 33 33100 TURKEY,,,
DHL LOGISTICS PRIVATE LIMITED,5887,"101A/B, SILVER UTOPIA CARDINAL GRAC",MUMBAI MH 400059 INDIA,,,
BALKRISHNA INDUSTRIES LTD,5887,BKT HOUSE C-15 TRADE WORLD,KAMALA MILLS LOWER PAREL,"MUMBAI, MH 400013 IN",,
"GENERAL MERCHANDISE CONSOLIDATORS,",5875,INC.,"5F., NO. 302, RUI-GUANG ROAD,","NEI-HU DISTRICT,TAIPEI 11492,",TAIWAN,
NAN YA PLASTICS CORPORATION,5868,"201, TUNG HWA N. RD., TAIPEI,","TAIWAN, R.O.C.",,,
PATSON LOGISTICS LIMITED,5854,"UNIT 1708, 17/F, ORIENTAL PLAZA, NO",". 1072 JIANSHE ROAD, SHENZHEN, GUAN","GDONG, CHINA TEL = +86-755-82348753",.,
POLLMEIER MASSIVHOLZ GMBH & CO.KG,5852,PFERDSDORFER WEG 6,CREUZBURG DE,,,
MITSUBISHI ELECTRIC CORPORATION,5844,.,"HEAD OFFICE 7-3 MARUNOUCHI 2-CHOME,",TOKYO. 100-8310 JAPAN,,
CMPC MADERAS S.A.,5840,AGUSTINAS 1343 PISO 4,SANTIAGO RM CHILE,,,
CHENHAO,5814,"BUILDING 3, JINBI INDUSTRIAL ZONE","SHENZHEN, GUANGDONG",,,
HYUNDAI STEEL COMPANY,5811,"231, YANGJAE-DONG, SEOCHO-GU,","SEOUL 137-938, SOUTH KOREA",,,
ROCHE DIAGNOSTICS GMBH,5806,116 SANDHOFER STR.,"MANNHEIM, BW 68305 DE",,,
STANDARD FRUIT DE HONDURAS S.A.,5802,"AVENIDA BECKMAN,","ZONA MAZAPAN,","LA CEIBA, HONDURAS",,
SAMSUNG ELECTRONICS COMPANY LIMITED,5791,"129,SAMSUNG-RO,YEONGTONG-GU",PALDAL-GU KYONGGI-DO 443-742,SOUTH KOREA,,
SHINSHO CORPORATION,5788,6-17 KITAHAMA 2-CHOME CHUO-KU,"OSAKA, 541-8558",,,
PANTOS LOGISTICS CO. LTD.,5785,18TH FL. HANA SECURITIES BLDG.,23-3 YEOUIDO-DONG YEONGDEUNGPO-GU,SEOUL 150-876,,
"APEX MARITIME (XIAMEN)CO.,LTD",5782,"23GH, INTERNATIONAL PLAZA,","NO. 8 LUJIANG ROAD, XIAMEN 361001,",P.R. CHINA TEL:(86) 592 2618063,,
TEAMGLOBAL LOGISTICS PVT. LTD.,5779,"TIMES SQUARES, 7TH FLOOR, A WING AN",MUMBAI MH 400059 INDIA,,,
GENERAL NOLI SPEDIZIONI INTERNAZION,5750,VIA SALLUSTIO N. 3,41123 MODENA MO,ITALY,,
COMPANIA AGROPECUARIA EL PORVENIR S,5748,"EDH HCHN # 72, FQEMSE AK OAQPTE SVH","AVENIDA BECKMAN, ZONA MAZAPAN",LA CEIBA HONDURAS,,
NAS A DIV. OF GOSSELIN SUISSE AG.,5710,AS AGENTS FOR ISA,"CARE OF DARBY MOVERS, INC.",,,
MED SERVICES OVERSEAS LTD AS AGENT,5704,FOR TRASPORTI INTERMODALI EUROPEI,VIA DELL ARSENALE 22,36100 VICENZA,TEL 0039-0444-560729,
AGILITY LOGISTICS PRIVATE LIMITED,5657,2 MAORAM AMBESHWAR COLONY,"NEW SANGANER ROAD,","JAIPUR-302016, INDIA",,
VOLVO CAR CORPORATION,5652,TORSLANDA,,,,SE
PINNACLE WORLD TRANSPORT PTE LTD,5647,"135 MIDDLE ROAD, #05-13/14, BYLANDS",SINGAPORE 188975 SINGAPORE,,,
"YJC VIETNAM CO., LTD",5624,"ROOM 507-508, FL 5, 2A-4A TON","DUC THANG STR, DIST. 1, HCMC,",VIETNAM,HO CHI MINH CITY,
UPS SCS (CHINA) LIMITED,5621,SHANGHAI BRANCH NO.1000 PU,"JIAN ROAD,PUDONG SHANGHAI",CHINA 200127 TEL:021-61057777,,
BEIJING KANG JIE KONG INT'L CARGO A,5617,QINGDAO BRANCH EI/TAO,"12TH FLOOR, BUILDING 7, QINGDAO SOF","QINGDAO, SHANDONG 266071",,
CLAAS SELBSTFAHRENDE ERNTEMASCHINEN,5612,1 MUEHLENWINKEL,"HARSEWINKEL, NW 33428 DE",,,
SAFROUND LOGISTICS CO. LTD.,5590,17 F HONGTAI DIBIAO BUILDING,NO.1222 NINGCHUAN ROAD YINZHOU,DISTRICT NINGBO ZHEJIANG CHINA,,
CHEN HAO,5575,BUILDING 3 JINBI INDUSTRIAL ZONE,"SHENZHEN, GUANGDONG",,,
UPS SCS (CHINA) LIMITED.SHANGHAI,5567,BRANCH. NO.1000 PU JIAN,"ROAD,PUDONG SHANGHAI CHINA 200127",TEL:021-61057777,,57
PACIFIC RESOURCES LTD,5547,SHENGBANG INT'L MANSIONS,602A 1318# NORTH SICHUAN RD,HONGKOU DISTRICT SHANGHAI CHINA,,
MIQ LOGISTICS (SHANGHAI) LTD,5535,"SUITE B, 15/F., HARBOUR RING","HUANGPU CENTRE, 98 LIUHE ROAD","SHANGHAI, CHINA",,32
"PANTOS LOGISTICS(CHINA) CO.,LTD.",5532,"SHANGHAI BRANCH ROOM 1201-1204,",GREENLAND INTERNATIONAL,"COMMERCIAL CENTER,NO.88 GU LOU",,
"HANKOOK TIRE & TECHNOLOGY CO., LTD.",5522,.,"133, TEHERAN-RO(YEOKSAM-DONG) SEOUL",06133 KR,,
UPS SCS(CHINA) LIMITED NINGBO,5501,BRANCH,"NINGBO, ZHEJIANG 315041 CN",,,
PANALPINA WORLD TRANSPORT(PRC)LTD.,5494,"42F,GOLDEN BUSINESS CENTRE, NO.2028",SHENZHEN 44 518007 CHINA,,,
RHI MAGNESITA GMBH,5488,6 KRANICHBERGGASSE,"VIENNA, 1120 AT",,,
SFS INTEC AG,5482,ROSENBERGSAUSTR. 10,HEERBRUGG CH,,,
BIRRA PERONI SRL,5453,VIA RENATO BIROLLI 8,ROMA 00155 ITALY,,,
DE WELL CONTAINER SHIPPING INC. 718,5451,GUANGMING RD RM 808 PUDONG 200000,SHANGHAI CHINA TEL 61031877,FAX 61031878,,
BERTSCHI GLOBAL AG,5449,HUTMATTSTR 22,DURRENASCH,SWITZERLAND,,
M+R FORWARDING (CHINA) LTD,5440,AS AGENT OF MCL-MULTI CONTAINER,"LINE, INC.11TH FLOOR,CENTRO",BUILDING NO.568 HENGFENG ROAD,,
TIANJIN HUAFENG TRANSPORT AGENCY CO,5440,"E-411, XIAMEN INTERNATIONAL SHIPPI",HULI DISTRICT FJ,CHINA,,
SOLEADO S.A.,5427,"KM 50, CARRETERA HACIA DANLI",,,,HN
CENTURY DISTRIBUTION,5419,SYSTEMS SHENZHEN LTD.XIAMEN BRANCH,O B SYNERGY SHOE COMPANY,"12-1 NO. 137, HUA MEI WEST STREET",,
BDP INTERNATIONAL LTD.(CHINA),5401,"11 F, BLOCK 2, RIVERSIDE","INTERNATIONAL PLAZA, 1062 YANGSHUPU","ROAD, SHANGHAI 200082 CHINA",SHANGHAI,
RAMSES LOGISTICS COMPANY LIMITED,5401,"ROOM 505, 5TH FLOOR, A-DONG, GANGSE",KANGSO-GU SEOUL 157-801,SOUTH KOREA,,
IRISH DISTILLERS LTD,5396,FOX & GEESE,ROBINHOOD ROAD,CLONDALKIN,"DUBLIN, IE",
CAVIT S.C.,5375,"VIA DEL PONTE, 31",,,,IT
TEMPERED PRODUCTS INC.,5353,"10F.-2, NO.631, SEC. 1, CHONGDE RD.",",NORTH DIST.,",,,TW
HONGKONG MILLEY LIMITED,5348,"UNIT 04,7 F BRIGHT WAY TOWER NO 33",MONG KOK RD KL HONG KONG,,,
HIGH LINK LINE.INC.,5347,"ROOM 309,GUANSHENGYUAN BUILDING, 14","ROAD,SHANGHAI,200040, CHINA",TEL_86-21-62896888_5571 FAX_86-21-6,,
TRIPLE EAGLE CONTAINER LINE,5347,"(SHENZHEN)CO LTD.RM 1202,","12/F,GUIDU BUILDING,3007 CHUNFENG","ROAD LUOHU DISTRICT,SHENZHEN CHINA",,
ETS TRANSPORT & LOGISTICS GMBH,5335,AS AGENT OF: ETS EXPRESS LINE LTD.,FDA REG.-NO. 10742757392,VIOLENSTRASSE 27,28195 BREMEN,
AFFCO NEW ZEALAND LIMITED,5335,"GREAT SOUTH ROAD, HOROTIU","PRIVATE BAG 3301, HAMILTON",NEW ZEALAND,,
ORIENT STAR TRANSPORT INT L LTD.,5297,"RM 8-10, 18 F., EVER GAIN PLAZA,","TOWER 1, 88 CONTAINER PORT ROAD,","KWAI CHUNG, N.T. HONG KONG",HONG KONG HK,
BOGE ELASTMETALL GMBH,5295,DOKTOR-JURGEN-ULDERUP-PLATZ 1,,,,DE
MASISA S.A.,5291,AV.APOQUINDO 3650 FLOOR 10 LAS,CONDES SANTIAGO CHILE,,,
"CHINA INT'L FREIGHT CO.,LTD",5290,"17FL,NO.1,HENAN SOUTH ROAD,","SHANGHAI,CHINA 200002",TEL:86-021-63365500,,
JAS DO BRASIL AGENCIAMENTO,5285,LOGISTICO LTDA,"RUA FIDENCIO RAMOS, 223, 6TH",,,BR
CERTIFIED ORIGINS ITALIA SRL,5269,"VIA DEL MADONNINO, 7",,,,IT
"DSV AIR SEA CO., LTD. AS AGENT",5268,FOR DSV OCEAN TRANSPORT A S,"8-9F 15F, RAFFLES CITY CHANGNING","OFFICE TOWER 3,",,
PYRAMID LINES LIMITED,5259,"LEVEL 54, HOPEWELL CENTRE 183 QUEEN",HONG KONG .,HONG KONG,,
DIAGEO IRELAND,5251,GLOBAL SUPPLY,PO BOX 6938,ST JAMES GATE BREWERY,DUBLIN 008 IE,
JAS FORWARDING (CHINA) CO LTD,5233,"6/F, WEST TOWER, GREENLAND CENTRE",NO 600 MIDDLE LONG HUA ROAD,SHANGHAI SHANGHAI 200032,,90
MEYENBURGER MOEBEL GMBH,5224,FREYENSTEINER STRASSE,MEYENBURG,16945,,
HELLA GMBH & CO. KGAA,5223,RIXBECKER STR. 75,LIPPSTADT DE,,,
JF HILLEBRAND SPAIN SA,5216,"AVDA CATEDRAL, 6-8 2 1A",08002 BARCELONA,SPAIN,,
SIEMENS AG,5211,DF LOG EL,WINTER-GUENTHER-STRASSE 11,NUERNBERG DE,,
SAFELOG TRANSPORTES E LOGISTICA,5198,LTDA,"AV. JOSE EUGENIO MULLER, 970 - VILA",OPERARIA ITAJAI/SC CEP:88303-170,,52
APLL ON BEHALF OF,5194,HUNAN SMART SHIRTS GARMENTS,MANUFACTURING CO. LTD,YUANJIANG ECONOMIC DEVELOPMENT,,
"AIR TIGER EXPRESS (ASIA), INC.",5175,"ROOM 3088,3F GUANGSHEN BUILDING","SHENNAN DONG ROAD,","LUOHU DISTRICT., SHENZHEN CHINA",HONG KONG,
SHINE INT'L TRANSPORTATION,5171,(SHENZHEN) LTD.,"UNIT A, 23/F., FORTUNE","BUILDING, FUTIAN, CBD SHENZHEN,",,
EXPORTADORA PROPAL S.A.,5163,PANAMERICANA NORTE KM 107,HIJUELAS VS CHILE,,,
ZACAPAEX S.A.,5162,FINCA EL OASIS,LA FRAGUA,,,GT
SCHENKER (H.K.) LTD. TAIWAN BRANCH,5161,"3F, NO.49, SEC.3, MIN-SHENG E. ROAD","TAIPEI 10478, TAIWAN",AS AGENT OF SCHENKEROCEAN LIMITED,,61
JABIL CIRCUIT (GUANGZHOU) LTD,5151,"128, JUN CHENG ROAD",GUANGZHOU ECON & TECH DEV DIST,GUANGZHOU 510530 CN,,
"OEC LOGISTICS (QINGDAO) CO.,LTD.",5151,TIANJIN BRANCH,"19TH FLOOR,BUILDING NO..2FUYU","CENTER,376 JIEFANG NAN ROAD,",,
FR. MEYERS SOHN (GMBH CO.) KG,5148,AM KAFFEE-QUARTIER 3,28217 BREMEN GERMANY,AS AGENTS OF,,
KUEHNE NAGEL LIMITED,5136,"BUILDING 4,1401 LANE,JIANGCHANG","ROAD. JINGAN DISTRICT,","SHANGHAI,P.R.CHINA",,
CHINA INT'L FREIGHT COMPANY LIMITED,5132,10F ZHONGMIN BLDG 72 NORTH HUBIN RO,XIAMEN FJ 361000,CHINA,,
HP SINGAPORE (PRIVATE) LIMITED,5121,C/O LOGISTAR INTERNATIONAL HOLDING,C/O CAL-COMP ELECTRONICS(THIALAND),"PUBLIC COMPANY LIMITED.191/54,57 18",,16
VOLKSWAGEN KONZERNLOGISTIK GMBH,5120,& CO.OHG,"BRIEFFACH 0203 0, LIEFERANTENNR WOL",FSBURG NI 38436 DE,,
KME GERMANY GMBH & CO. KG,5117,KLOSTERSTR. 29,,,,DE
SCHENKER (THAI) LTD.,5097,"3388/54-61,63,66-67, SIRINRAT","BLDG., 16TH- 19TH FL.,","RAMA 4, KLONGTON, KLONGTOEY BANGKOK",AS AGENT OF SCHENKEROCEAN LIMITED,
IKEA INDUSTRY POLAND SP. Z O.O.,5089,ODDZIAL W LUBAWIE UL. BOREK 3,LUBAWA 14-260 POLAND,,,
DYNAMIC NETWORK CONTAINER LINE LTD.,5079,"ROOM B2, BLOCK B, 22/F., NANFANG SE",SHENZHEN 44 518001 CHINA,,,
PIRELLI PNEUS LTDA,5077,"AV. GIOVANNI BATTISTA PIRELLI, 871",SANTO ANDRE SP 09111-340 BRAZIL,,,
"REFAT GARMENTS LIMITED,",5075,"144,147-148 EAST NARASHINGPUR,","ASHULIA, DHAKA-1341,BANGLADESH.",,,26
"DIRECT LOGISTICS CO., LTD.",5072,"5F-4, NO. 103, RUEI-HU ST.,","NEI-HU DISTRICT,",TAIPEI TAIWAN,TEL:02-26588526,
UNIQUE LOGISTICS INTERNATIONAL (HON,5070,"UNIT B, 4/F, SUNSHINE KOWLOON BAY,C",HONG KONG .,HONG KONG,,
FONTERRA LIMITED,5068,TAX ID: 81-527-105 109 FANSHAWE,STREET PRIVATE BAG 92032 1010,AUCKLAND NEW ZEALAND,,41
PACIFIC STAR EXPRESS CORPORATION,5049,.,"5F, NO.56, DUNHUA N. RD., TAIPEI 1",05 TW,,
ORIENT EXPRESS CONTAINER COMPANY LI,5030,"ROOM 2001, 20/F, CITIC BANK BUILDIN",NINGBO 33 315000 CHINA,,,
SWIFT FREIGHT (INDIA) PVT LTD,5028,.,"KHERANI ROAD, SAKI NAKA ANDHERI (EA",ST) MUMBAI MH 400072 IN,,
HYUNDAI GLOVIS AS AGENT FOR,5020,GLOVIS AMERICA,"301, TEHERAN-RO,","GANGNAM-GU, SEOUL, KOREA",,
BLUE EAGLE CONSOL. SERVICES,5014,C O JF HILLEBRAND ITALIA SPA,VIA VOLTURNO 10 12 GROMA CENTER SES,TO FIORENTINO 50019 IT,,
"OEC LOGISTICS (QINGDAO) CO., LTD.",5002,"17 FLOOR, TIMES SQUARE, 52 HONGKONG","MID ROAD, QINGDAO, CHINA ZIP CODE","266071 TEL 86-532-83990000,",QINGDAO,
EMO TRANS GMBH,4989,OBER DER MUEHLE 30,DE-42699 SOLINGEN,AS AGENTS FOR EM-LINES LTD.,,
PT. GAJAH TUNGGAL TBK,4988,WISMA HAYAM WURUK 10TH FLOOR,JL. HAYAM WURUK NO. 8,"JAKARTA 10120, INDONESIA",ON BEHALF OF,
ZHEJIANG HAPPY SMART FURNISHINGS CO,4983,"100 LONGXING ROAD,LEATHER INDUSTRIA","L PARK HAINING ZHEJIANG, 314400, CH",INA,,
"ORIENT EXPRESS CONTAINER CO., LIMIT",4979,"ROOM A, 16TH FL, NO 726 WEST YAN AN","ROAD HUAMIN EMPIRE PLAZA,CHANGNING",DIST SHANGHAI 20004#,,
FRUTERA SAN FERNANDO S.A.,4977,AV. PRESIDENTE RIESCO 5561 OF.1301,"LAS CONDES, SANTIAGO",,,
GRANITIFIANDRE SPA,4968,VIA RADICI NORD 112,,,,IT
HONOUR LANE SHIPPING LTD XIAMEN,4965,BRANCH 3RD FLOOR HAIMING BUILDING,"NO.50 TONGYI ROAD HULI DISTRICT.,","XIAMEN,FUJIAN CHINA",,
"BANANERA TEPEYAC, S.A..",4958,BOULEVARD RAFAEL LANDIVAR,"EDH HCHN A5, 205 10-05, YNMA 16",CIUDAD GUATEMALA GUATEMAL,,
SWISHER DOMINICANA INC,4951,CLL CENTRAL MANZANA A EDIF 4-5-6,ZONA FRANCA INDUSTRIAL,"SANTIAGO, REPUBLICA DOMINICANA",DOM,
"PIRELLI TYRE S.P.A., MILAN, SWISS B",4945,ST. JACOBS STRASSE 54,BASEL BS 4052 SWITZERLAND,,,
"BOLLORE LOGISTICS CHINA CO., LTD",4944,"20TH FL, NEW HUALIAN MANSION, EAST",755 MIDDLE HUAIHAI ROAD,"SHANGHAI,",,68
TOLL GLOBAL FORWARDING (BEIJING),4938,LIMITED (QINGDAO BRANCH),AS AGENT FOR TOLL GLOBAL FORWARDING,(HONG KONG) LIMITED,,24
DHL GLOBAL FORWARDING FRANCE SAS,4933,AS AGENT FOR DANMAR LINES LTD,P.O. BOX 2651,4002,,
ARKEMA FRANCE,4931,420 RUE D'ESTIENNE D'ORVES,92705 COLOMBES CEDEX FRANCE,,,
FEDEX TRADE NETWORKS TRANSPORT & BR,4927,208 K P AURUM K P ENGINEERING COMPO,ANDHERI MH 400059 INDIA,,,
BRIDGESTONE CORPORATION,4912,"1-1, KYOBASHI 3-CHOME, CHUO-KU,","TOKYO 104-8340, JAPAN",TEL:+81-3-6836-3903,,48
COSENTINO LATINA LTDA,4911,"RUA E, 1075/QUADRA XI, SETOR I, CAR",SERRA ES 29168-040 BRAZIL,,,
PANALPINA WORLD TRANSPORT (PRC) LTD,4906,AS AGENT FOR AND ON BEHALF OF PANTA,SHANGHAI 31 200000 CHINA,,,
TOPOCEAN CONSOLIDATION SERVICE(CHIN,4885,"ROOM 1504, HENGTAI BUILDING, NO.69",NINGBO ZJ,CHINA,,
WORLDWIDE EXPORTING LTD,4876,"8 F, YIEN YIEH COMMERCIAL",BUILDING 238 DES VOEUX,ROAD CENTRAL HONG KONG,KOWLOON HK,
SHINE INT L TRANSPORTATION,4871,SHENZHEN,LTD.,"UNIT A, 23 F., FORTUNE BUILDING,",,
ALBINI & PITIGLIANI S.P.A.,4871,"VIALE GUGLIELMO MARCONI ,46 PRATO",PO CEP 59100 IT,,,
PT. PINDO DELI PULP AND PAPER MILLS,4857,"SINAR MAS LAND PLAZA MENARA 2, LT 9","JL. M.H. THAMRIN NO. 51,","JAKARTA 10350, INDONESIA",,
"PUDONG PRIME INTL LOGISTICS,INC.",4855,"RM1102-1103 ETON PLAZA,NO.555",PUDONG AVE SHANGHAI 200120 CHINA,TEL 68882787 FAX 50541198,,
CARL HARTMANN GMBH & CO. KG,4852,.,KOPPELWEG 3 EMMERICH 46446 DE,,,
APEX LOGISTICS INTERNATIONAL,4851,( CN ) LIMITED,"SHANGHAI, SHANGHAI 200235 CN",,,
WALLENIUS WILHELMSEN,4842,4-12 TEAMINUS TERRACE,,,,GB
"YUSEN LOGISTICS (CHINA) CO., LTD",4840,"9F,LONGEMONT YES TOWER,NO.369","KAIXUAN RD,SHANGHAI.P.R.",CHINA 200051 TEL: 021-22207500,,
PENAVICO SHENZHEN LOGISTICS LTD.,4836,"20/F,ANLIAN PLAZA,NO.4018,JINTIAN R",SHENZHEN 44 518026 CHINA,,,
"CAS INTERNATIONAL CO., LTD",4835,GLOBAL SHIPPING PLAZA 269 NINGDONG,"RD,SUITE 3102 NINGBO,CHINA.",,,
DELMAR INTERNATIONAL (CHINA) INC.,4810,FLOOR 10 NO.7 BUILDING NO.288,NINGXIA ROAD QINGDAO CHINA.266000,TEL86-532-66707066 77,,
"LLIT (THAILAND) CO., LTD.",4802,"911/9 MOO 5, KHAOKHANSONG","SRIRACHA, CHONBURI THAILAND 20110",,,
